Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-11-16,Anora,2024,https://boxd.it/7OR5ct,4.5,,,2024-11-15
2024-11-17,Scream,1996,https://boxd.it/7PtC3v,3.5,,,2024-11-16
2024-11-20,Shane Gillis: Live in Austin,2021,https://boxd.it/7QLONF,4,,,2024-11-19
2024-11-21,Stavros Halkias: Live at the Lodge Room,2022,https://boxd.it/7RgwlP,3.5,,,2024-11-20
2024-11-22,The Penguin,2024,https://boxd.it/7RW6Vh,4.5,,,2024-11-21
2024-11-24,Brokeback Mountain,2005,https://boxd.it/7SDQkx,3.5,,,2024-11-23
2024-11-30,The Godfather Part III,1990,https://boxd.it/7VZdvx,4,,,2024-11-29
2024-12-07,Superbad,2007,https://boxd.it/7Zqo0L,5,Yes,,2024-12-06
2024-12-08,Cruel Intentions,1999,https://boxd.it/7ZZIGx,2,,,2024-12-07
2024-12-15,Interstellar,2014,https://boxd.it/83uu6f,5,Yes,,2024-12-14
2024-12-16,Sweethearts,2024,https://boxd.it/83ZL5l,1,,,2024-12-15
2024-12-24,Fallen Angels,1995,https://boxd.it/88WBJp,3.5,,,2024-12-23
2024-12-25,National Lampoon's Christmas Vacation,1989,https://boxd.it/89rVsF,3.5,Yes,,2024-12-24
2024-12-27,Leaving Las Vegas,1995,https://boxd.it/8b3crx,3,,,2024-12-26
2024-12-29,The Break-Up,2006,https://boxd.it/8cFhU5,3,,,2024-12-28
2025-01-02,A Complete Unknown,2024,https://boxd.it/8gsfxN,3.5,,,2025-01-01
2025-01-04,Gladiator II,2024,https://boxd.it/8j2VN9,3,,,2025-01-03
2025-01-07,Saturday Night,2024,https://boxd.it/8m9XTz,3,,,2025-01-06
2025-01-09,After Hours,1985,https://boxd.it/8nSXtv,4.5,,,2025-01-08
2025-01-11,Nosferatu,2024,https://boxd.it/8qh6d3,4,,,2025-01-10
